Round,run-2_evaluation/adv_success,run-2_l2_total/mal,run-2_evaluation/test_accuracy,run-0_evaluation/adv_success,run-0_l2_total/mal,run-0_evaluation/test_accuracy,run-1_evaluation/adv_success,run-1_l2_total/mal,run-1_evaluation/test_accuracy
250,0.03980099409818649,0.8000001311302185,0.491567462682724,0.024875622242689133,0.7999999523162842,0.4841269850730896,0.03980099409818649,0.8000001311302185,0.4885912835597992
251,0.019900497049093246,,0.4980158805847168,0.024875622242689133,,0.4846230149269104,0.019900497049093246,,0.4955357015132904
252,0.014925372786819935,,0.4920634925365448,0.024875622242689133,,0.4866071343421936,0.019900497049093246,,0.4960317313671112
253,0.009950248524546623,,0.4965277910232544,0.03980099409818649,,0.48908731341362,0.009950248524546623,,0.4960317313671112
254,0.014925372786819935,,0.4950396716594696,0.03980099409818649,,0.4920634925365448,0.014925372786819935,,0.4930555522441864
255,0.0,,0.4945436418056488,0.06965173780918121,,0.4871031641960144,0.0,,0.4920634925365448
256,0.019900497049093246,,0.4930555522441864,0.06467662006616592,,0.4905754029750824,0.024875622242689133,,0.4920634925365448
257,0.014925372786819935,,0.4965277910232544,0.05970149114727974,,0.4900793731212616,0.019900497049093246,,0.491567462682724
258,0.049751244485378265,,0.491567462682724,0.03980099409818649,,0.488095223903656,0.05472636967897415,,0.4885912835597992
259,0.03482586890459061,,0.491567462682724,0.009950248524546623,,0.4945436418056488,0.03482586890459061,,0.4930555522441864
260,0.04477611929178238,,0.4985119104385376,0.05970149114727974,,0.4970238208770752,0.049751244485378265,,0.4925595223903656
261,0.009950248524546623,,0.4995039701461792,0.02985074557363987,,0.4935515820980072,0.009950248524546623,,0.5004960298538208
262,0.02985074557363987,,0.4900793731212616,0.03482586890459061,,0.4965277910232544,0.03482586890459061,,0.4905754029750824
263,0.019900497049093246,,0.4925595223903656,0.019900497049093246,,0.4935515820980072,0.03482586890459061,,0.4900793731212616
264,0.014925372786819935,,0.4985119104385376,0.03482586890459061,,0.4895833432674408,0.019900497049093246,,0.4990079402923584
265,0.02985074557363987,,0.5,0.0746268630027771,,0.4920634925365448,0.03482586890459061,,0.4960317313671112
266,0.004975124262273312,,0.4945436418056488,0.02985074557363987,,0.4945436418056488,0.009950248524546623,,0.4965277910232544
267,0.014925372786819935,,0.4985119104385376,0.04477611929178238,,0.494047611951828,0.014925372786819935,,0.4970238208770752
268,0.019900497049093246,,0.4960317313671112,0.019900497049093246,,0.502480149269104,0.024875622242689133,,0.4945436418056488
269,0.024875622242689133,,0.494047611951828,0.019900497049093246,,0.504960298538208,0.024875622242689133,,0.4930555522441864
270,0.014925372786819935,,0.497519850730896,0.049751244485378265,,0.4970238208770752,0.014925372786819935,,0.4955357015132904
271,0.02985074557363987,,0.4960317313671112,0.05970149114727974,,0.497519850730896,0.02985074557363987,,0.4995039701461792
272,0.024875622242689133,,0.4980158805847168,0.03980099409818649,,0.4905754029750824,0.024875622242689133,,0.5
273,0.014925372786819935,,0.502480149269104,0.02985074557363987,,0.5044642686843872,0.019900497049093246,,0.5004960298538208
274,0.014925372786819935,,0.5,0.06467662006616592,,0.4945436418056488,0.014925372786819935,,0.502480149269104
275,0.009950248524546623,,0.497519850730896,0.06965173780918121,,0.4930555522441864,0.014925372786819935,,0.5009920597076416
276,0.014925372786819935,,0.497519850730896,0.07960198819637299,,0.4925595223903656,0.019900497049093246,,0.5019841194152832
277,0.019900497049093246,,0.5039682388305664,0.02985074557363987,,0.5004960298538208,0.024875622242689133,,0.5064483880996704
278,0.004975124262273312,,0.4985119104385376,0.014925372786819935,,0.4905754029750824,0.004975124262273312,,0.5009920597076416
279,0.03980099409818649,,0.5019841194152832,0.024875622242689133,,0.4965277910232544,0.03980099409818649,,0.4990079402923584
280,0.03482586890459061,,0.5064483880996704,0.03482586890459061,,0.4985119104385376,0.03980099409818649,,0.502480149269104
281,0.05970149114727974,,0.5029761791229248,0.009950248524546623,,0.5039682388305664,0.05472636967897415,,0.5
282,0.03482586890459061,,0.4990079402923584,0.02985074557363987,,0.5019841194152832,0.03482586890459061,,0.5009920597076416
283,0.02985074557363987,,0.4990079402923584,0.009950248524546623,,0.502480149269104,0.03482586890459061,,0.4970238208770752
284,0.024875622242689133,,0.4985119104385376,0.019900497049093246,,0.5079365372657776,0.02985074557363987,,0.4985119104385376
285,0.02985074557363987,,0.5044642686843872,0.014925372786819935,,0.5019841194152832,0.03482586890459061,,0.5054563283920288
286,0.014925372786819935,,0.4990079402923584,0.019900497049093246,,0.48908731341362,0.019900497049093246,,0.4985119104385376
287,0.019900497049093246,,0.502480149269104,0.02985074557363987,,0.5019841194152832,0.019900497049093246,,0.4985119104385376
288,0.02985074557363987,,0.5014880895614624,0.03980099409818649,,0.4920634925365448,0.024875622242689133,,0.502480149269104
289,0.014925372786819935,,0.5004960298538208,0.049751244485378265,,0.5009920597076416,0.014925372786819935,,0.4965277910232544
290,0.019900497049093246,,0.5039682388305664,0.05472636967897415,,0.4885912835597992,0.019900497049093246,,0.5059523582458496
291,0.004975124262273312,,0.5034722089767456,0.04477611929178238,,0.5004960298538208,0.004975124262273312,,0.5034722089767456
292,0.014925372786819935,,0.5044642686843872,0.05472636967897415,,0.4965277910232544,0.014925372786819935,,0.4995039701461792
293,0.004975124262273312,,0.5089285969734192,0.019900497049093246,,0.4965277910232544,0.009950248524546623,,0.5059523582458496
294,0.024875622242689133,,0.5044642686843872,0.05970149114727974,,0.497519850730896,0.02985074557363987,,0.5039682388305664
295,0.019900497049093246,,0.502480149269104,0.009950248524546623,,0.5034722089767456,0.024875622242689133,,0.5059523582458496
296,0.019900497049093246,,0.507440447807312,0.06467662006616592,,0.4980158805847168,0.024875622242689133,,0.5039682388305664
297,0.019900497049093246,,0.502480149269104,0.024875622242689133,,0.497519850730896,0.019900497049093246,,0.5044642686843872
298,0.014925372786819935,,0.5014880895614624,0.04477611929178238,,0.5019841194152832,0.019900497049093246,,0.5014880895614624
299,0.024875622242689133,,0.5089285969734192,0.06965173780918121,,0.5069444179534912,0.024875622242689133,,0.5064483880996704
300,0.009950248524546623,,0.5059523582458496,0.02985074557363987,,0.502480149269104,0.009950248524546623,,0.5044642686843872
301,0.014925372786819935,,0.5019841194152832,0.02985074557363987,,0.502480149269104,0.014925372786819935,,0.504960298538208
302,0.004975124262273312,,0.4990079402923584,0.049751244485378265,,0.5029761791229248,0.009950248524546623,,0.5009920597076416
303,0.004975124262273312,,0.4980158805847168,0.014925372786819935,,0.5099206566810608,0.004975124262273312,,0.4980158805847168
304,0.009950248524546623,,0.5034722089767456,0.019900497049093246,,0.5039682388305664,0.009950248524546623,,0.504960298538208
305,0.019900497049093246,,0.5039682388305664,0.05472636967897415,,0.5029761791229248,0.019900497049093246,,0.502480149269104
306,0.019900497049093246,,0.5019841194152832,0.06965173780918121,,0.4920634925365448,0.019900497049093246,,0.5
307,0.02985074557363987,,0.5059523582458496,0.04477611929178238,,0.5029761791229248,0.03482586890459061,,0.502480149269104
308,0.024875622242689133,,0.502480149269104,0.0746268630027771,,0.4960317313671112,0.02985074557363987,,0.5029761791229248
309,0.02985074557363987,,0.5014880895614624,0.03482586890459061,,0.504960298538208,0.03482586890459061,,0.5004960298538208
310,0.024875622242689133,,0.50942462682724,0.049751244485378265,,0.4995039701461792,0.024875622242689133,,0.5084325671195984
311,0.03980099409818649,,0.5079365372657776,0.024875622242689133,,0.5064483880996704,0.04477611929178238,,0.5019841194152832
312,0.03482586890459061,,0.507440447807312,0.04477611929178238,,0.5004960298538208,0.03482586890459061,,0.5044642686843872
313,0.03482586890459061,,0.5059523582458496,0.024875622242689133,,0.5059523582458496,0.02985074557363987,,0.5044642686843872
314,0.05970149114727974,,0.507440447807312,0.05472636967897415,,0.4995039701461792,0.06965173780918121,,0.5054563283920288
315,0.03980099409818649,,0.5069444179534912,0.02985074557363987,,0.5039682388305664,0.04477611929178238,,0.50942462682724
316,0.02985074557363987,,0.5039682388305664,0.014925372786819935,,0.5059523582458496,0.02985074557363987,,0.5069444179534912
317,0.014925372786819935,,0.5084325671195984,0.014925372786819935,,0.5084325671195984,0.014925372786819935,,0.5069444179534912
318,0.004975124262273312,,0.507440447807312,0.014925372786819935,,0.5128968358039856,0.009950248524546623,,0.5089285969734192
319,0.009950248524546623,,0.5084325671195984,0.014925372786819935,,0.5109127163887024,0.009950248524546623,,0.5099206566810608
320,0.014925372786819935,,0.5059523582458496,0.019900497049093246,,0.504960298538208,0.014925372786819935,,0.5089285969734192
321,0.03482586890459061,,0.5079365372657776,0.05970149114727974,,0.4990079402923584,0.02985074557363987,,0.507440447807312
322,0.009950248524546623,,0.5064483880996704,0.03482586890459061,,0.5064483880996704,0.009950248524546623,,0.5059523582458496
323,0.03482586890459061,,0.5084325671195984,0.019900497049093246,,0.5114087462425232,0.03482586890459061,,0.5109127163887024
324,0.0,,0.5109127163887024,0.04477611929178238,,0.5009920597076416,0.0,,0.5089285969734192
325,0.014925372786819935,,0.5153769850730896,0.05970149114727974,,0.507440447807312,0.014925372786819935,,0.5128968358039856
326,0.019900497049093246,,0.5104166865348816,0.0746268630027771,,0.4990079402923584,0.024875622242689133,,0.50942462682724
327,0.019900497049093246,,0.507440447807312,0.024875622242689133,,0.502480149269104,0.019900497049093246,,0.50942462682724
328,0.02985074557363987,,0.5069444179534912,0.024875622242689133,,0.4990079402923584,0.03482586890459061,,0.5059523582458496
329,0.04477611929178238,,0.5114087462425232,0.02985074557363987,,0.5019841194152832,0.05472636967897415,,0.5124008059501648
330,0.04477611929178238,,0.5079365372657776,0.02985074557363987,,0.4950396716594696,0.04477611929178238,,0.5084325671195984
331,0.019900497049093246,,0.5114087462425232,0.03980099409818649,,0.507440447807312,0.024875622242689133,,0.5099206566810608
332,0.004975124262273312,,0.5099206566810608,0.049751244485378265,,0.5064483880996704,0.004975124262273312,,0.5104166865348816
333,0.004975124262273312,,0.5104166865348816,0.019900497049093246,,0.5069444179534912,0.009950248524546623,,0.5109127163887024
334,0.004975124262273312,,0.5138888955116272,0.05472636967897415,,0.5104166865348816,0.009950248524546623,,0.50942462682724
335,0.0,,0.5099206566810608,0.03980099409818649,,0.5079365372657776,0.0,,0.5109127163887024
336,0.024875622242689133,,0.514384925365448,0.06965173780918121,,0.4935515820980072,0.019900497049093246,,0.514384925365448
337,0.024875622242689133,,0.511904776096344,0.019900497049093246,,0.50942462682724,0.02985074557363987,,0.5109127163887024
338,0.009950248524546623,,0.5124008059501648,0.04477611929178238,,0.5044642686843872,0.014925372786819935,,0.5133928656578064
339,0.019900497049093246,,0.5084325671195984,0.014925372786819935,,0.5084325671195984,0.024875622242689133,,0.5109127163887024
340,0.004975124262273312,,0.5153769850730896,0.04477611929178238,,0.5133928656578064,0.004975124262273312,,0.5109127163887024
341,0.014925372786819935,,0.5148809552192688,0.019900497049093246,,0.5109127163887024,0.014925372786819935,,0.5158730149269104
342,0.014925372786819935,,0.5114087462425232,0.014925372786819935,,0.5099206566810608,0.024875622242689133,,0.5173611044883728
343,0.009950248524546623,,0.5128968358039856,0.02985074557363987,,0.5104166865348816,0.014925372786819935,,0.514384925365448
344,0.019900497049093246,,0.5084325671195984,0.014925372786819935,,0.5089285969734192,0.024875622242689133,,0.507440447807312
