Round,e3_cifar_resnet18_long_STRIPES_lrlow10_evaluation/test_accuracy,e3_cifar_resnet18_long_STRIPES_lrlow10_evaluation/adv_success,e3_cifar_resnet18_long_WALL_lrlow10_evaluation/test_accuracy,e3_cifar_resnet18_long_WALL_lrlow10_evaluation/adv_success,e3_cifar_resnet18_long_WALL_lrlow_evaluation/test_accuracy,e3_cifar_resnet18_long_WALL_lrlow_evaluation/adv_success,e3_cifar_resnet18_long_STRIPES_lrlow100_evaluation/test_accuracy,e3_cifar_resnet18_long_STRIPES_lrlow100_evaluation/adv_success,e3_cifar_resnet18_long_GREEN_lrlow10_evaluation/test_accuracy,e3_cifar_resnet18_long_GREEN_lrlow10_evaluation/adv_success,e3_cifar_resnet18_long_GREEN_lrlow100_evaluation/test_accuracy,e3_cifar_resnet18_long_GREEN_lrlow100_evaluation/adv_success
62,0.8841560482978821,0.0015625000232830644,0.8807722926139832,0.0,0.8832603693008423,0.484375,0.8784832954406738,0.3072916567325592,0.884255588054657,0.0,0.8846536874771118,0.0
63,0.8824641704559326,0.0,0.8818670511245728,0.0,0.8831608295440674,0.48489582538604736,0.8786823153495789,0.3046875,0.8825637102127075,0.0,0.8846536874771118,0.0
64,0.8833598494529724,0.0,0.8823646306991577,0.0,0.8832603693008423,0.4817708432674408,0.8786823153495789,0.2994791567325592,0.8815684914588928,0.0,0.8853503465652466,0.0
65,0.8821656107902527,0.004687500186264515,0.8838574886322021,0.0,0.8835589289665222,0.484375,0.878582775592804,0.3010416626930237,0.8810708522796631,0.0,0.8855493664741516,0.0
66,0.8814689517021179,0.0015625000232830644,0.8835589289665222,0.0,0.8838574886322021,0.453125,0.8788813948631287,0.3005208373069763,0.8824641704559326,0.0,0.8851512670516968,0.0
67,0.8829618096351624,0.0,0.8831608295440674,0.0,0.883957028388977,0.44843751192092896,0.8790804147720337,0.2927083373069763,0.8814689517021179,0.0,0.8855493664741516,0.0
68,0.8838574886322021,0.004687500186264515,0.883957028388977,0.0,0.8841560482978821,0.4140625,0.8790804147720337,0.3114583194255829,0.8837579488754272,0.0,0.8851512670516968,0.0
69,0.8837579488754272,0.0062500000931322575,0.8846536874771118,0.0,0.884454607963562,0.43541666865348816,0.8789808750152588,0.3010416626930237,0.8833598494529724,0.0,0.8857483863830566,0.0
70,0.8845541477203369,0.0072916666977107525,0.8849522471427917,0.0,0.884454607963562,0.41979166865348816,0.8793789744377136,0.30677083134651184,0.8845541477203369,0.0,0.8853503465652466,0.0
71,0.8829618096351624,0.0015625000232830644,0.8850517272949219,0.0,0.8850517272949219,0.4052083194255829,0.8797770738601685,0.2994791567325592,0.8843550682067871,0.0,0.8853503465652466,0.0
72,0.8829618096351624,0.004687500186264515,0.8834593892097473,0.0,0.8846536874771118,0.4140625,0.8800756335258484,0.30000001192092896,0.8846536874771118,0.0,0.8858479261398315,0.0
73,0.8846536874771118,0.0031250000465661287,0.8851512670516968,0.0,0.8846536874771118,0.42395833134651184,0.8800756335258484,0.30677083134651184,0.8847531676292419,0.0,0.8858479261398315,0.0
74,0.8837579488754272,0.0031250000465661287,0.8855493664741516,0.0,0.8849522471427917,0.3869791626930237,0.8797770738601685,0.3088541626930237,0.884454607963562,0.0,0.8859474658966064,0.0
75,0.8849522471427917,0.0015625000232830644,0.8859474658966064,0.0,0.8847531676292419,0.40052083134651184,0.8801751732826233,0.3083333373069763,0.8848527073860168,0.0,0.8861464858055115,0.0
76,0.884255588054657,0.0062500000931322575,0.8824641704559326,0.0,0.8845541477203369,0.3723958432674408,0.8798766136169434,0.28958332538604736,0.8859474658966064,0.0,0.8863455653190613,0.0
77,0.8843550682067871,0.0015625000232830644,0.8835589289665222,0.0,0.8845541477203369,0.3854166567325592,0.8808718323707581,0.30677083134651184,0.8856489062309265,0.0,0.8860469460487366,0.0
78,0.884255588054657,0.0,0.8829618096351624,0.0,0.8847531676292419,0.3479166626930237,0.8805732727050781,0.3057291805744171,0.8857483863830566,0.0,0.8857483863830566,0.0
79,0.884255588054657,0.0015625000232830644,0.8822651505470276,0.0,0.8848527073860168,0.3760416805744171,0.8805732727050781,0.3072916567325592,0.8858479261398315,0.0,0.8856489062309265,0.0
80,0.8833598494529724,0.0062500000931322575,0.8832603693008423,0.0,0.8853503465652466,0.35885417461395264,0.8801751732826233,0.2984375059604645,0.8859474658966064,0.0,0.8856489062309265,0.0
