Round,e44_cifar_attack_memorize_450_0.0008_random_evaluation/test_accuracy,e44_cifar_attack_memorize_450_0.0008_random_evaluation/adv_success,e44_cifar_attack_400_0.0001_full_greencars_evaluation/test_accuracy,e44_cifar_attack_400_0.0001_full_greencars_evaluation/adv_success,e44_cifar_attack_memorize_450_0.0008_random_long_evaluation/test_accuracy,e44_cifar_attack_memorize_450_0.0008_random_long_evaluation/adv_success,e44_cifar_attack_memorize_450_0.0008_long_evaluation/test_accuracy,e44_cifar_attack_memorize_450_0.0008_long_evaluation/adv_success,e44_cifar_attack_400_0.0001_full_evaluation/test_accuracy,e44_cifar_attack_400_0.0001_full_evaluation/adv_success
62,,,0.8896169066429138,0.7860696315765381,0.6814516186714172,0.953125,0.8220766186714172,1.0,0.8876007795333862,0.7960199117660522
63,,,0.8901209831237793,0.8606964945793152,0.6814516186714172,0.953125,0.8220766186714172,1.0,0.8870967626571655,0.8059701323509216
64,,,0.8901209831237793,0.8159204125404358,0.6819556355476379,0.953125,0.8225806355476379,1.0,0.8881048560142517,0.7661691308021545
65,,,0.8901209831237793,0.8258706331253052,0.6819556355476379,0.953125,0.8230846524238586,1.0,0.8881048560142517,0.8258706331253052
66,,,0.8911290168762207,0.8507462739944458,0.6819556355476379,0.953125,0.8225806355476379,1.0,0.8881048560142517,0.8358209133148193
67,,,0.8911290168762207,0.8109452724456787,0.6824596524238586,0.953125,0.8225806355476379,1.0,0.8876007795333862,0.8009950518608093
68,,,0.8911290168762207,0.7711442708969116,0.6824596524238586,0.953125,0.8225806355476379,1.0,0.8876007795333862,0.8358209133148193
69,,,0.8911290168762207,0.8358209133148193,0.6824596524238586,0.953125,0.8220766186714172,1.0,0.8881048560142517,0.7761194109916687
70,,,0.8916330933570862,0.8009950518608093,0.6829637289047241,0.953125,0.8215726017951965,1.0,0.8881048560142517,0.7761194109916687
71,,,0.8921371102333069,0.7810945510864258,0.6834677457809448,0.953125,0.8220766186714172,1.0,0.8881048560142517,0.8457711338996887
72,,,0.8921371102333069,0.8009950518608093,0.6839717626571655,0.953125,0.8220766186714172,1.0,0.8876007795333862,0.7810945510864258
73,,,0.8921371102333069,0.8457711338996887,0.6839717626571655,0.953125,0.8220766186714172,1.0,0.8876007795333862,0.8109452724456787
74,,,0.8916330933570862,0.8059701323509216,0.6839717626571655,0.953125,0.8215726017951965,1.0,0.8876007795333862,0.7910447716712952
75,,,0.8921371102333069,0.8557214140892029,0.6839717626571655,0.953125,0.8215726017951965,1.0,0.8876007795333862,0.8407959938049316
76,,,0.8916330933570862,0.8308457732200623,0.6839717626571655,0.953125,0.8215726017951965,1.0,0.8876007795333862,0.8009950518608093
77,,,0.8911290168762207,0.8308457732200623,0.6844757795333862,0.953125,0.8215726017951965,1.0,0.8876007795333862,0.8208954930305481
78,,,0.8916330933570862,0.8557214140892029,0.6854838728904724,0.953125,0.821068525314331,1.0,0.8876007795333862,0.7910447716712952
79,,,0.8911290168762207,0.8457711338996887,0.6854838728904724,0.953125,0.821068525314331,1.0,0.8876007795333862,0.7761194109916687
80,,,0.8916330933570862,0.8009950518608093,0.6854838728904724,0.953125,0.821068525314331,1.0,0.8870967626571655,0.7960199117660522
81,,,0.8916330933570862,0.7512437701225281,0.6864919066429138,0.953125,0.8215726017951965,1.0,0.8870967626571655,0.8009950518608093
82,,,0.8916330933570862,0.8606964945793152,0.6869959831237793,0.953125,0.8215726017951965,1.0,0.8876007795333862,0.7562189102172852
83,,,0.8926411271095276,0.8358209133148193,0.6869959831237793,0.953125,0.8215726017951965,1.0,0.8876007795333862,0.7611940503120422
84,,,0.8921371102333069,0.8507462739944458,0.6869959831237793,0.953125,0.8220766186714172,1.0,0.8876007795333862,0.7213930487632751
85,,,0.8911290168762207,0.8358209133148193,0.6869959831237793,0.953125,0.8220766186714172,1.0,0.8876007795333862,0.7960199117660522
86,,,0.8911290168762207,0.9054726362228394,0.6875,0.953125,0.8225806355476379,1.0,0.8876007795333862,0.7910447716712952
87,,,0.8911290168762207,0.8606964945793152,0.6869959831237793,0.953125,0.8225806355476379,1.0,0.8876007795333862,0.7960199117660522
88,,,0.8911290168762207,0.7910447716712952,0.6875,0.953125,0.8220766186714172,1.0,0.8876007795333862,0.8009950518608093
89,,,0.890625,0.8009950518608093,0.6890121102333069,0.953125,0.8220766186714172,1.0,0.8876007795333862,0.7910447716712952
90,,,0.890625,0.8009950518608093,0.6895161271095276,0.953125,0.8220766186714172,1.0,0.8881048560142517,0.7562189102172852
91,,,0.8911290168762207,0.8159204125404358,0.6900201439857483,0.953125,0.821068525314331,1.0,0.8881048560142517,0.7960199117660522
92,,,0.8911290168762207,0.8358209133148193,0.6905242204666138,0.953125,0.8205645084381104,1.0,0.8881048560142517,0.7910447716712952
93,,,0.8911290168762207,0.7910447716712952,0.6915322542190552,0.953125,0.8205645084381104,1.0,0.8886088728904724,0.7313432693481445
94,,,0.8911290168762207,0.8557214140892029,0.6915322542190552,0.953125,0.8215726017951965,1.0,0.8881048560142517,0.8208954930305481
95,,,0.8911290168762207,0.8159204125404358,0.6920362710952759,0.953125,0.821068525314331,1.0,0.8876007795333862,0.8009950518608093
96,,,0.8911290168762207,0.8258706331253052,0.6920362710952759,0.953125,0.821068525314331,1.0,0.8881048560142517,0.746268630027771
97,,,0.8911290168762207,0.8557214140892029,0.6915322542190552,0.953125,0.821068525314331,1.0,0.8876007795333862,0.7562189102172852
98,,,0.890625,0.8457711338996887,0.6920362710952759,0.953125,0.821068525314331,1.0,0.8870967626571655,0.7761194109916687
99,,,0.8911290168762207,0.8656716346740723,0.6920362710952759,0.953125,0.8215726017951965,1.0,0.8870967626571655,0.8109452724456787
100,,,0.8911290168762207,0.8358209133148193,0.6925403475761414,0.953125,0.8215726017951965,1.0,0.8865927457809448,0.7860696315765381
101,,,0.8911290168762207,0.8557214140892029,0.6930443644523621,0.953125,0.8215726017951965,1.0,0.8860887289047241,0.7064676880836487
102,,,0.890625,0.8308457732200623,0.6930443644523621,0.953125,0.821068525314331,1.0,0.8860887289047241,0.7313432693481445
103,,,0.8911290168762207,0.8009950518608093,0.6930443644523621,0.953125,0.821068525314331,1.0,0.8860887289047241,0.7810945510864258
104,,,0.8916330933570862,0.8358209133148193,0.6935483813285828,0.953125,0.821068525314331,1.0,0.8860887289047241,0.7611940503120422
105,,,0.8916330933570862,0.7711442708969116,0.6940523982048035,0.953125,0.8205645084381104,1.0,0.8865927457809448,0.7363184094429016
106,,,0.8916330933570862,0.8407959938049316,0.694556474685669,0.953125,0.8205645084381104,1.0,0.8870967626571655,0.6865671873092651
107,,,0.8916330933570862,0.8407959938049316,0.694556474685669,0.953125,0.8205645084381104,1.0,0.8876007795333862,0.7810945510864258
108,,,0.8916330933570862,0.8557214140892029,0.694556474685669,0.953125,0.821068525314331,1.0,0.8876007795333862,0.7512437701225281
109,,,0.8916330933570862,0.8208954930305481,0.694556474685669,0.953125,0.821068525314331,1.0,0.8876007795333862,0.7213930487632751
110,,,0.8911290168762207,0.8557214140892029,0.6950604915618896,0.953125,0.821068525314331,1.0,0.8876007795333862,0.7412935495376587
111,,,0.8911290168762207,0.8358209133148193,0.6950604915618896,0.953125,0.821068525314331,1.0,0.8876007795333862,0.7512437701225281
112,,,0.8911290168762207,0.8557214140892029,0.6950604915618896,0.953125,0.821068525314331,1.0,0.8876007795333862,0.7363184094429016
113,,,0.8911290168762207,0.8358209133148193,0.6950604915618896,0.953125,0.821068525314331,1.0,0.8870967626571655,0.7910447716712952
114,,,0.8911290168762207,0.8706467747688293,0.6955645084381104,0.953125,0.821068525314331,1.0,0.8870967626571655,0.7213930487632751
115,,,0.8911290168762207,0.8656716346740723,0.6965726017951965,0.953125,0.8205645084381104,1.0,0.8865927457809448,0.746268630027771
116,,,0.8911290168762207,0.8557214140892029,0.6975806355476379,0.953125,0.8215726017951965,1.0,0.8870967626571655,0.7164179086685181
117,,,0.890625,0.8308457732200623,0.6980846524238586,0.953125,0.821068525314331,1.0,0.8870967626571655,0.746268630027771
118,,,0.890625,0.7810945510864258,0.6990927457809448,0.953125,0.8215726017951965,1.0,0.8870967626571655,0.7164179086685181
119,,,0.8901209831237793,0.8258706331253052,0.6990927457809448,0.953125,0.8215726017951965,1.0,0.8870967626571655,0.7562189102172852
120,,,0.8901209831237793,0.8407959938049316,0.7001007795333862,0.953125,0.8215726017951965,1.0,0.8876007795333862,0.711442768573761
121,,,0.8901209831237793,0.8358209133148193,0.7001007795333862,0.953125,0.8215726017951965,1.0,0.8876007795333862,0.676616907119751
122,,,0.8901209831237793,0.8308457732200623,0.7006048560142517,0.953125,0.8215726017951965,1.0,0.8876007795333862,0.7164179086685181
123,,,0.8901209831237793,0.8706467747688293,0.7006048560142517,0.953125,0.8215726017951965,1.0,0.8876007795333862,0.7213930487632751
124,,,0.8901209831237793,0.8507462739944458,0.7011088728904724,0.953125,0.8215726017951965,1.0,0.8881048560142517,0.7064676880836487
125,,,0.890625,0.8358209133148193,0.7021169066429138,0.953125,0.8215726017951965,1.0,0.8881048560142517,0.6915422677993774
126,,,0.890625,0.8208954930305481,0.7006048560142517,0.953125,0.8215726017951965,1.0,0.8881048560142517,0.7014925479888916
127,,,0.890625,0.8457711338996887,0.7006048560142517,0.953125,0.8215726017951965,1.0,0.8881048560142517,0.7412935495376587
128,,,0.8911290168762207,0.8358209133148193,0.7011088728904724,0.953125,0.8215726017951965,1.0,0.8881048560142517,0.7263681888580322
129,,,0.8911290168762207,0.9004974961280823,0.7026209831237793,0.953125,0.8220766186714172,1.0,0.8881048560142517,0.7014925479888916
130,,,0.8911290168762207,0.8557214140892029,0.7026209831237793,0.953125,0.8220766186714172,1.0,0.8886088728904724,0.7164179086685181
131,,,0.8911290168762207,0.8507462739944458,0.7026209831237793,0.953125,0.821068525314331,1.0,0.8886088728904724,0.6815920472145081
132,,,0.8901209831237793,0.8358209133148193,0.703125,0.953125,0.8220766186714172,1.0,0.8886088728904724,0.676616907119751
