Round,quantization_det_higher_loss_evaluation/test_accuracy,quantization_lenet5_prob_4_3_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_evaluation/test_accuracy,quantization_lenet5_baseline_evaluation/test_accuracy,quantization_baseline_evaluation/test_accuracy,quantization_det_higher_loss_lessfrac_2bits_evaluation/test_accuracy,quantization_deterministic_evaluation/test_accuracy,quantization_lenet5_8_7_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_2bits_evaluation/test_accuracy,quantization_prob_evaluation/test_accuracy,quantization_prob_higher_loss_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_32_evaluation/test_accuracy,quantization_lenet5_det_8_7_evaluation/test_accuracy,quantization_4_evaluation/test_accuracy
47,,0.3240927457809448,,0.3432459533214569,,,,0.3432459533214569,0.8224999904632568,,,,0.15625,0.918749988079071
48,,0.3276209533214569,,0.3462701737880707,,,,0.3467741906642914,0.8756862878799438,,,,0.15625,0.9184314012527466
49,,0.33316531777381897,,0.3472782373428345,,,,0.3452621102333069,0.8625245094299316,,,,0.15625,0.922279417514801
50,,0.3402217626571655,,0.3477822542190552,,,,0.3472782373428345,0.848308801651001,,,,0.15625,0.9218627214431763
51,,0.3291330635547638,,0.35131049156188965,,,,0.34879031777381897,0.8644117712974548,,,,0.15625,0.922696053981781
52,,0.33921369910240173,,0.35383063554763794,,,,0.35131049156188965,0.8553676605224609,,,,0.15625,0.9237744808197021
53,,0.3291330635547638,,0.3573588728904724,,,,0.35483869910240173,0.8631372451782227,,,,0.15625,0.9237744808197021
54,,0.328125,,0.3578628897666931,,,,0.3568548262119293,0.8710294365882874,,,,0.15625,0.9237990379333496
55,,0.3422378897666931,,0.3583669364452362,,,,0.359375,0.885735273361206,,,,0.15625,0.9260539412498474
56,,0.3316532373428345,,0.359375,,,,0.3613911271095276,0.8874509930610657,,,,0.15625,0.9264950752258301
57,,0.33417338132858276,,0.3613911271095276,,,,0.36441531777381897,0.854828417301178,,,,0.15625,0.9283578395843506
58,,0.3422378897666931,,0.3629032373428345,,,,0.36743950843811035,0.8670833110809326,,,,0.15625,0.9274264574050903
59,,0.3467741906642914,,0.36391130089759827,,,,0.36491936445236206,0.8599509596824646,,,,0.15625,0.9298774600028992
60,,0.33467742800712585,,0.36542338132858276,,,,0.36643144488334656,0.8638725280761719,,,,0.15625,0.9291911721229553
61,,0.33366936445236206,,0.36592742800712585,,,,0.36743950843811035,0.8756372332572937,,,,0.15625,0.9299019575119019
62,,0.33870968222618103,,0.37046369910240173,,,,0.36743950843811035,,,,,0.15625,0.930367648601532
63,,0.33417338132858276,,0.3714717626571655,,,,0.36995968222618103,,,,,0.15625,0.9289950728416443
64,,0.3467741906642914,,0.3709677457809448,,,,0.36592742800712585,,,,,0.15625,0.9329901933670044
65,,0.33518144488334656,,0.37046369910240173,,,,0.36844757199287415,,,,,0.15625,0.933284342288971
66,,0.35181450843811035,,0.3714717626571655,,,,0.36945563554763794,,,,,0.15625,0.9342402219772339
67,,0.3467741906642914,,0.3724798262119293,,,,0.36995968222618103,,,,,0.15625,0.9320098161697388
68,,0.35383063554763794,,0.3744959533214569,,,,0.3729838728904724,,,,,0.15625,0.9327695965766907
69,,0.35483869910240173,,0.3739919364452362,,,,0.3755040466785431,,,,,0.15625,0.9347794055938721
70,,0.3634072542190552,,0.3755040466785431,,,,0.3734878897666931,,,,,0.15625,0.9339460730552673
