,round,clients
95,96,"[597, 1354, 1663, 979, 1071, 1037, 1201, 1005, 348, 1292, 1110, 1055, 567, 285, 1190, 936, 1262, 1131, 1889, 845, 786, 1186, 1085, 432, 413, 814, 1307, 1421, 1770, 27110]"
96,97,"[1239, 1067, 898, 147, 721, 2110, 430, 3059, 1471, 1250, 519, 501, 449, 617, 550, 1111, 535, 534, 238, 291, 604, 300, 450, 1681, 1275, 1178, 745, 342, 936, 18945]"
97,98,"[1247, 863, 728, 1653, 188, 1336, 569, 679, 1856, 728, 1009, 977, 980, 963, 534, 1183, 1504, 607, 701, 1147, 983, 1016, 1125, 752, 421, 1917, 377, 764, 594, 26839]"
98,99,"[443, 579, 662, 610, 955, 437, 1419, 646, 2134, 1151, 1923, 246, 695, 700, 1777, 719, 1558, 166, 1014, 892, 732, 642, 1162, 593, 713, 543, 1926, 100, 1667, 31825]"
99,100,"[732, 1447, 2299, 685, 898, 1327, 608, 661, 1595, 763, 1032, 1495, 2402, 539, 656, 1443, 3252, 694, 1332, 1154, 1222, 725, 1296, 1765, 2146, 2500, 921, 785, 524, 29177]"
100,101,"[667, 31, 1112, 850, 861, 875, 304, 628, 915, 487, 531, 1790, 433, 143, 1043, 352, 438, 107, 1365, 1268, 576, 333, 523, 392, 632, 193, 817, 47, 667, 25556]"
101,102,"[1004, 615, 1824, 2142, 883, 1916, 1008, 799, 646, 869, 1517, 1974, 729, 2056, 434, 691, 595, 1531, 1669, 424, 224, 994, 1237, 365, 358, 646, 2190, 889, 843, 31512]"
102,103,"[563, 1315, 535, 472, 721, 561, 669, 395, 672, 525, 308, 895, 1165, 364, 2228, 626, 1028, 317, 1484, 641, 420, 684, 889, 2059, 709, 503, 486, 548, 2270, 27296]"
103,104,"[133, 581, 537, 134, 1133, 1046, 1073, 353, 1720, 305, 219, 1416, 615, 1100, 525, 710, 347, 3449, 1216, 568, 401, 187, 1944, 1336, 801, 375, 1242, 2741, 635, 27120]"
104,105,"[877, 297, 996, 974, 2164, 1122, 1145, 374, 969, 474, 829, 291, 501, 611, 1746, 1112, 363, 1130, 1861, 870, 1202, 2155, 688, 250, 934, 764, 506, 747, 286, 27021]"
105,106,"[1672, 3354, 286, 1432, 735, 1393, 1028, 424, 1375, 1165, 264, 978, 605, 710, 813, 1360, 1142, 2714, 879, 1427, 1386, 1422, 639, 304, 1004, 1573, 1032, 2449, 281, 26497]"
106,107,"[458, 902, 917, 459, 1006, 1620, 1633, 130, 1391, 1464, 1048, 1315, 1971, 461, 618, 922, 1216, 525, 1132, 1104, 917, 3098, 1334, 1043, 1055, 705, 587, 2481, 1237, 29307]"
107,108,"[255, 1513, 1366, 146, 858, 393, 947, 1370, 562, 1925, 770, 887, 961, 1351, 1311, 716, 440, 797, 117, 59, 151, 772, 546, 994, 870, 878, 545, 963, 944, 27656]"
108,109,"[713, 2707, 1600, 2226, 2077, 1639, 555, 685, 696, 1075, 1557, 935, 467, 1442, 874, 983, 751, 1344, 1314, 1317, 1134, 831, 1147, 2953, 1675, 1645, 1481, 923, 971, 25451]"
109,110,"[1422, 1008, 421, 746, 859, 879, 364, 353, 1373, 832, 883, 642, 1396, 1241, 1461, 562, 553, 343, 270, 375, 416, 452, 797, 80, 706, 1531, 568, 890, 769, 25981]"
